Tanggal,Pintu Masuk,Jumlah Kunjungan
2010-11-01,Supadio,
2010-11-01,Hasanuddin,3059.0
2010-11-01,Sultan Badaruddin II,
2010-11-01,Bandara Int. Lombok,1253.0
2010-11-01,A. Pintu Udara,396216.0
2010-11-01,Minangkabau,3342.0
2010-11-01,Pintu Udara Lainnya,1648.0
2010-11-01,Sam Ratulangi,1477.0
2010-11-01,Batam,85307.0
2010-11-01,Tanjung Balai Karimun,8605.0
2010-11-01,Tanjung Benoa,
2010-11-01,Tanjung Mas,
2010-11-01,Pintu Laut Lainnya,6044.0
2010-11-01,C. Pintu Darat,1915.0
2010-11-01,Total,577815.0
2010-11-01,Aruk,
2010-11-01,Tanjung Pinang,8167.0
2010-11-01,Entikong,1915.0
2010-11-01,Nanga Badau,
2010-11-01,Pintu Darat Lainnya,
2010-11-01,Jumlah (A+B+C),532283.0
2010-11-01,Lainnya,45532.0
2010-11-01,Tanjung Uban,26029.0
2010-11-01,Jayapura,
2010-11-01,Atambua,
2010-12-01,Ngurah Rai,222497.0
2010-12-01,Soekarno-Hatta,139242.0
2010-12-01,Juanda,14191.0
2010-12-01,Kualanamu,16857.0
2010-12-01,Husein Sastranegara,10404.0
2010-12-01,Adi Sucipto,3267.0
2010-12-01,Bandara Int. Lombok,1863.0
2010-12-01,Ahmad Yani,
2010-12-01,Sultan Syarif Kasim II,833.0
2010-12-01,Sultan Iskandar Muda,
2010-12-01,Supadio,
2010-12-01,Hasanuddin,1326.0
2010-12-01,Pintu Udara Lainnya,1648.0
2010-12-01,Total,643293.0
2010-12-01,A. Pintu Udara,416954.0
2010-12-01,Minangkabau,3344.0
2010-12-01,Lainnya,52099.0
2010-12-01,Sultan Badaruddin II,
2010-12-01,Sam Ratulangi,1482.0
2010-12-01,Tanjung Pinang,10078.0
2010-12-01,Tanjung Balai Karimun,10520.0
2010-12-01,Tanjung Benoa,
2010-12-01,Tanjung Mas,
2010-12-01,Pintu Laut Lainnya,5552.0
2010-12-01,Jumlah (A+B+C),591194.0
2010-12-01,Jayapura,
2010-12-01,Tanjung Uban,34661.0
2010-12-01,Entikong,3281.0
2010-12-01,Aruk,
2010-12-01,Nanga Badau,
2010-12-01,Pintu Darat Lainnya,
2010-12-01,Batam,110148.0
2010-12-01,C. Pintu Darat,3281.0
2010-12-01,B. Pintu Laut,170959.0
2010-12-01,Atambua,
2011-01-01,B. Pintu Laut,119878.0
2011-01-01,Soekarno-Hatta,138987.0
2011-01-01,Juanda,13580.0
2011-01-01,Kualanamu,12172.0
2011-01-01,Husein Sastranegara,9383.0
2011-01-01,Adi Sucipto,2990.0
2011-01-01,Bandara Int. Lombok,1164.0
2011-01-01,Sultan Iskandar Muda,
2011-01-01,Ngurah Rai,208337.0
2011-01-01,Sultan Syarif Kasim II,1412.0
2011-01-01,Ahmad Yani,
2011-01-01,Supadio,
2011-01-01,Hasanuddin,906.0
2011-01-01,Sultan Badaruddin II,
2011-01-01,Pintu Udara Lainnya,2729.0
2011-01-01,Sam Ratulangi,1050.0
2011-01-01,C. Pintu Darat,1647.0
2011-01-01,Minangkabau,2183.0
2011-01-01,Entikong,1647.0
2011-01-01,A. Pintu Udara,394893.0
2011-01-01,Tanjung Pinang,6194.0
2011-01-01,Tanjung Balai Karimun,7193.0
2011-01-01,Tanjung Benoa,
2011-01-01,Tanjung Mas,
2011-01-01,Pintu Laut Lainnya,5903.0
2011-01-01,Jayapura,
2011-01-01,Batam,77925.0
2011-01-01,Atambua,
2011-01-01,Aruk,
2011-01-01,Nanga Badau,
2011-01-01,Pintu Darat Lainnya,
2011-01-01,Jumlah (A+B+C),516418.0
2011-01-01,Lainnya,32403.0
2011-01-01,Total,548821.0
2011-01-01,Tanjung Uban,22663.0
2011-02-01,Ngurah Rai,201457.0
2011-02-01,Soekarno-Hatta,144299.0
2011-02-01,Juanda,13086.0
2011-02-01,Kualanamu,14270.0
2011-02-01,Husein Sastranegara,8747.0
2011-02-01,Adi Sucipto,3344.0
2011-02-01,Bandara Int. Lombok,835.0
2011-02-01,Sultan Iskandar Muda,
2011-02-01,Minangkabau,2646.0
2011-02-01,Sultan Syarif Kasim II,1468.0
2011-02-01,Ahmad Yani,
2011-02-01,Supadio,
2011-02-01,Hasanuddin,1083.0
2011-02-01,Sultan Badaruddin II,
2011-02-01,B. Pintu Laut,135620.0
2011-02-01,A. Pintu Udara,395228.0
2011-02-01,Pintu Udara Lainnya,2729.0
2011-02-01,Sam Ratulangi,1264.0
2011-02-01,Batam,86318.0
2011-02-01,Tanjung Pinang,8648.0
2011-02-01,Tanjung Balai Karimun,9903.0
2011-02-01,Tanjung Benoa,
2011-02-01,Tanjung Mas,
2011-02-01,Pintu Laut Lainnya,5089.0
2011-02-01,C. Pintu Darat,2297.0
2011-02-01,Jayapura,
2011-02-01,Tanjung Uban,25662.0
2011-02-01,Entikong,2297.0
2011-02-01,Aruk,
2011-02-01,Pintu Darat Lainnya,
